gencodeID	Symbol	ProbeChr	Probe_bp	topSNP	b_SMR	se_SMR	p_SMR	p_SMR_multi	p_HEIDI	nsnp_HEIDI	FDR
ENSG00000163938.16	GNL3	3	52681156	rs35212380	-0.222042	0.0327075	1.13119e-11	3.005241e-09	0.0	45	7.7486583e-09
ENSG00000238083.7	LRRC37A2	17	46511510	rs2532240	-0.0574766	0.00962185	2.321393e-09	3.231549e-08	0.0167379	10	7.950771025e-07
ENSG00000088808.16	PPP1R13B	14	103847590	rs722637	0.208887	0.0367188	1.279038e-08	6.490785e-08	6.0883e-12	46	2.190352575e-06
ENSG00000167491.17	GATAD2A	19	19385826	rs2965175	0.153627	0.0268492	1.053756e-08	3.009688e-07	6.7e-15	33	2.190352575e-06
ENSG00000259683.1		15	84389728	rs150967	-0.049529	0.00889687	2.591458e-08	2.220212e-06	1.596537e-06	76	3.55029746e-06
ENSG00000227676.3	LINC01068	13	79566726	rs6563110	0.0850802	0.0157722	6.878632e-08	7.442417e-07	2.252755e-09	47	7.2230607857e-06
ENSG00000176681.14	LRRC37A	17	46292732	rs753236	-0.0552833	0.0102726	7.38123e-08	2.124609e-07	0.6587862	3	7.2230607857e-06
ENSG00000198951.11	NAGA	22	42070842	rs28570317	0.14813	0.0277062	8.970206e-08	3.401123e-08	4.112271e-10	70	7.6807388875e-06
ENSG00000120071.12	KANSL1	17	46225374	rs2668622	-0.0772715	0.0146191	1.252659e-07	5.682472e-06	0.9730296	4	9.5341268333e-06
ENSG00000249484.8	LINC01470	5	153223542	rs17113771	0.123234	0.023441	1.462676e-07	2.962977e-06	2.074008e-09	33	1.00193306e-05
ENSG00000120451.10	SNX19	11	130916508	rs3751033	-0.0628564	0.0124456	4.406728e-07	2.130139e-06	5.271039e-10	44	2.72449102916e-05
ENSG00000259570.1		15	84394512	rs150967	-0.0675261	0.0134107	4.772831e-07	8.420378e-06	6.855967e-05	44	2.72449102916e-05
ENSG00000169592.14	INO80E	16	29995294	rs3814883	0.21782	0.0436079	5.884484e-07	2.12368e-06	8.13039e-11	20	3.10067041538e-05
ENSG00000269940.1		14	103694560	rs3861678	-0.191007	0.0384353	6.70981e-07	1.38929e-06	1.75893e-11	50	3.28301417857e-05
ENSG00000272335.1		5	44826076	rs10072259	0.126335	0.0257885	9.637728e-07	3.681354e-06	1.011573e-08	26	3.30092184e-05
ENSG00000204652.6	RPS26P8	17	45608570	rs1635291	0.057407	0.0117089	9.445264e-07	1.715864e-05	1.534352e-08	3	3.30092184e-05
ENSG00000183066.14	WBP2NL	22	41998724	rs5996092	-0.0779219	0.0159022	9.580816e-07	8.094345e-07	4.186512e-09	64	3.30092184e-05
ENSG00000163016.9	ALMS1P1	2	73644918	rs6710438	0.0909904	0.0185083	8.824067e-07	0.000123887	0.04583757	29	3.30092184e-05
ENSG00000261575.2		17	46267036	rs2668622	-0.0730993	0.0148154	8.05594e-07	5.633574e-06	0.8437143	5	3.30092184e-05
ENSG00000204650.13	CRHR1-IT1	17	45620328	rs1635291	0.164215	0.0332789	8.035567e-07	2.754966e-06	1.455481e-08	3	3.30092184e-05
ENSG00000114054.13	PCCB	3	136250306	rs11717954	-0.171958	0.0363785	2.279712e-06	2.554657e-06	7.150293e-08	39	7.43620342857e-05
ENSG00000226124.6	FTCDNL1	2	199851172	rs2949006	0.152676	0.0326765	2.977659e-06	7.410508e-06	1.6229e-12	60	9.2713473409e-05
ENSG00000227370.1		22	42132542	rs1058167	-0.124019	0.0266476	3.254896e-06	0.0001095986	4.166864e-07	38	9.6939293913e-05
ENSG00000114904.12	NEK4	3	52770948	rs11714030	0.163756	0.035332	3.57317e-06	1.490278e-05	8.613287e-06	26	0.0001019842270833
ENSG00000243696.4		3	52835728	rs6445539	-0.143784	0.0313813	4.609127e-06	4.635044e-06	0.0005032838	22	0.0001262900798
