# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	248/1829	1634/20670	4.3441216430666175e-18	10	248	5.4045217361391794e-14	86, 196, 307, 367, 463, 672, 1871, 1877, 1879, 2063, 2104, 2738, 2966, 3104, 3299, 4211, 4286, 4335, 4435, 4610, 4613, 4661, 4773, 5994, 6668, 6877, 6929, 7023, 7181, 7290, 7539, 7549, 7553, 7554, 7564, 7566, 7569, 7579, 7582, 7597, 7620, 7621, 7625, 7626, 7627, 7673, 7692, 7694, 7695, 7710, 7711, 7712, 7728, 7733, 7746, 7753, 7755, 7757, 7760, 7761, 7768, 7772, 7773, 7775, 7988, 8013, 8812, 9310, 9440, 9580, 9753, 9767, 9880, 10046, 10224, 10308, 10629, 10691, 10782, 10795, 11177, 23081, 25850, 25988, 26048, 26149, 26205, 26974, 27097, 27153, 27300, 50485, 51058, 51157, 51276, 51385, 54925, 54993, 55257, 55311, 55565, 55578, 55609, 55663, 55810, 55888, 56917, 56938, 57335, 57474, 57492, 57547, 57593, 57594, 57684, 58491, 58492, 58500, 60468, 64344, 79149, 79175, 79744, 79862, 79898, 79943, 80108, 80317, 84449, 84503, 84527, 84547, 84671, 84678, 84838, 84874, 84878, 84905, 84911, 90233, 90333, 90576, 90649, 90874, 90987, 91120, 91661, 91975, 92595, 93474, 94039, 112970, 115196, 115509, 115560, 116113, 125893, 126017, 126069, 126070, 126208, 126295, 126375, 127396, 136051, 137209, 139324, 140612, 140883, 146434, 146540, 146542, 147660, 147808, 147837, 147929, 147948, 147949, 148103, 148156, 148213, 148254, 148327, 155054, 155061, 162655, 162962, 162967, 162972, 163059, 163081, 163227, 166793, 169270, 169841, 195828, 197407, 199704, 203523, 220929, 220992, 221527, 221785, 222696, 253639, 254251, 256051, 284306, 284307, 284349, 284358, 284406, 285267, 285676, 285971, 285989, 286075, 286826, 339327, 339559, 340385, 342357, 342926, 345462, 346157, 349075, 374879, 374899, 374900, 374928, 387032, 388567, 388569, 389114, 389493, 389524, 390927, 440519, 641339, 642819, 653121, 654254, 100101467, 100170841, 100289635, 100289678, 100507290, 101060200
GO:0007005	BP	e	mitochondrion organization	20/1829	74/20670	4.306247844763115e-06	5	20	0.008929004906116318	538, 858, 2189, 2395, 2553, 3155, 4580, 6901, 10981, 23409, 55154, 55210, 57143, 79810, 79823, 83858, 84795, 84902, 125170, 246269
GO:0006488	BP	e	dolichol-linked oligosaccharide biosynthetic process	8/1829	14/20670	6.830785837243383e-06	6	8	0.011916351078910219	29929, 56052, 79644, 79796, 84920, 91869, 144245, 199857
GO:0006281	BP	e	DNA repair	42/1829	233/20670	7.662632315029479e-06	7	42	0.011916351078910219	86, 2189, 3508, 3978, 4255, 4595, 5429, 5883, 5889, 5892, 5983, 5985, 8846, 8914, 9400, 10036, 11169, 11232, 11284, 22897, 22944, 22976, 25988, 50485, 51149, 51547, 55135, 55775, 56154, 56852, 56946, 79447, 84083, 84444, 84464, 84787, 125476, 149840, 158880, 284131, 493861, 112441434
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	2/1829	432/20670	5.909860687687415e-15	5	2	3.194762679139197e-11	4995, 138799
GO:0007186	BP	p	G protein-coupled receptor signaling pathway	24/1829	921/20670	7.7037923297304e-15	5	24	3.194762679139197e-11	727, 2869, 3354, 4889, 4995, 5032, 5140, 5141, 5157, 5998, 7349, 7409, 7433, 7855, 9934, 50840, 54331, 57191, 64582, 114814, 138799, 146850, 387509, 440435
GO:0035195	BP	p	gene silencing by miRNA	9/1829	579/20670	1.0368922812525124e-13	9	9	3.224994217765627e-10	4343, 406893, 406896, 407019, 407027, 442903, 100126348, 100302214, 106660606
GO:0002250	BP	p	adaptive immune response	5/1829	402/20670	6.730167338334204e-11	3	5	1.6746002371243165e-07	8767, 11119, 29126, 50856, 64421
GO:0045087	BP	p	innate immune response	21/1829	538/20670	9.862219762208212e-06	6	21	0.013632875117959152	2444, 3551, 6441, 6714, 8517, 8635, 8767, 10622, 23098, 23170, 51135, 55718, 58509, 79132, 81559, 91543, 92610, 113277, 115992, 121260, 148022
GO:0007267	BP	p	cell-cell signaling	4/1829	226/20670	1.5935135626360944e-05	3	4	0.01982490223275565	367, 7130, 10505, 79690
