# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006396	BP	e	RNA processing	35/57	553/20670	6.313338093403169e-41	7	35	7.854423922002884e-37	26768, 26777, 26821, 114599, 319103, 654319, 677767, 677768, 677772, 677774, 677775, 677797, 677800, 677806, 677807, 677808, 677819, 677820, 677828, 677829, 677832, 677833, 677840, 677841, 677846, 692053, 692084, 692086, 692108, 692205, 692225, 100124536, 109616965, 109616976, 109617004
GO:0006120	BP	e	mitochondrial electron transport, NADH to ubiquinone	6/57	45/20670	2.5141879862937092e-09	8	6	1.563950636874002e-05	4535, 4536, 4537, 4538, 4539, 4540
GO:0000244	BP	e	spliceosomal tri-snRNP complex assembly	5/57	25/20670	6.78755050282642e-09	8	5	2.8147971935221162e-05	26831, 26832, 26834, 26835, 100151684
GO:0000353	BP	e	formation of quadruple SL/U4/U5/U6 snRNP	4/57	10/20670	1.0775854322822806e-08	7	4	3.351560090755964e-05	26831, 26832, 26834, 26835
GO:0015990	BP	e	electron transport coupled proton transport	3/57	4/20670	7.937345235496966e-08	10	3	0.0001974970241496355	4512, 4538, 4540
GO:0009060	BP	e	aerobic respiration	4/57	28/20670	1.0125393800211502e-06	6	4	0.002099500404473855	4512, 4514, 4535, 4538
GO:0006123	BP	e	mitochondrial electron transport, cytochrome c to oxygen	3/57	18/20670	1.5753866045660075e-05	8	3	0.02799912106772243	4512, 4513, 4514
GO:0032981	BP	e	mitochondrial respiratory chain complex I assembly	4/57	58/20670	1.972966599669509e-05	7	4	0.030682096833110455	4535, 4536, 4538, 4540
GO:0005730	CC	e	nucleolus	35/57	1308/20670	6.446898889951741e-28	5	35	1.162375869858299e-24	26768, 26777, 26821, 114599, 319103, 654319, 677767, 677768, 677772, 677774, 677775, 677797, 677800, 677806, 677807, 677808, 677819, 677820, 677828, 677829, 677832, 677833, 677840, 677841, 677846, 692053, 692084, 692086, 692108, 692205, 692225, 100124536, 109616965, 109616976, 109617004
GO:0005743	CC	e	mitochondrial inner membrane	12/57	415/20670	1.1459412568232942e-09	5	12	1.0330660430261996e-06	4508, 4509, 4512, 4513, 4514, 4519, 4535, 4536, 4537, 4538, 4539, 4540
GO:0005747	CC	e	mitochondrial respiratory chain complex I	6/57	49/20670	4.280067768731032e-09	6	6	2.57232072900735e-06	4535, 4536, 4537, 4538, 4539, 4540
GO:0015030	CC	e	Cajal body	5/57	75/20670	1.985435512920577e-06	3	5	0.000447467528724475	677768, 677774, 677775, 677820, 100124536
GO:0045277	CC	e	respiratory chain complex IV	3/57	11/20670	3.2295212045359105e-06	4	3	0.0006469807479753608	4512, 4513, 4514
GO:0046540	CC	e	U4/U6 x U5 tri-snRNP complex	4/57	41/20670	4.876290369547313e-06	6	4	0.0008791951536293805	26831, 26832, 26834, 26835
GO:0030964	CC	e	NADH dehydrogenase complex	2/57	2/20670	7.471416390600336e-06	4	2	0.0012246330683865823	4537, 4539
GO:0005751	CC	e	mitochondrial respiratory chain complex IV	3/57	25/20670	4.379973859177587e-05	5	3	0.006074686821613223	4512, 4513, 4514
GO:0005829	CC	p	cytosol	0/57	5301/20670	1.0258279200197054e-07	2	0	4.623919349488822e-05	
GO:0005737	CC	p	cytoplasm	0/57	4848/20670	3.4439361524852017e-07	2	0	0.00012418833765861636	
GO:0005634	CC	p	nucleus	1/57	5514/20670	6.046669353620355e-07	5	1	0.00015979299166712525	378938
GO:0005886	CC	p	plasma membrane	0/57	4778/20670	6.203832177869532e-07	3	0	0.00015979299166712525	
GO:0005654	CC	p	nucleoplasm	0/57	3808/20670	1.734954038691577e-05	2	0	0.0026067684431340943	
GO:0008137	MF	e	NADH dehydrogenase (ubiquinone) activity	6/57	42/20670	1.629569700979182e-09	7	6	3.607867317967909e-06	4535, 4536, 4537, 4538, 4539, 4540
GO:0003954	MF	e	NADH dehydrogenase activity	3/57	11/20670	3.2295212045359105e-06	4	3	0.004766773297895004	4535, 4538, 4540
GO:0004129	MF	e	cytochrome-c oxidase activity	3/57	19/20670	1.8671106446413232e-05	7	3	0.02066891483617945	4512, 4513, 4514
GO:0005515	MF	p	protein binding	9/57	12517/20670	4.596269764057768e-12	2	9	2.03522825152478e-08	4508, 4509, 4512, 4513, 4514, 4535, 4536, 4537, 26821
