# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006954	BP	e	inflammatory response	29/433	393/20670	5.0670297487201104e-09	4	29	6.30389171038269e-05	650, 1234, 1238, 2359, 3269, 3552, 3569, 3579, 3627, 4064, 5473, 5734, 5737, 5806, 6349, 6351, 6352, 6382, 6401, 6614, 7100, 8809, 8877, 9034, 9051, 51311, 58484, 60675, 150372
GO:0006935	BP	e	chemotaxis	15/433	113/20670	1.4347543789347297e-08	3	15	8.924889614163487e-05	1234, 2359, 3579, 3627, 4046, 5328, 5329, 6036, 6352, 6693, 9034, 56477, 60675, 112616, 641700
GO:0009972	BP	e	cytidine deamination	5/433	12/20670	2.765374460520553e-06	11	5	0.008601005915834051	978, 27350, 60489, 140564, 200316
GO:0016554	BP	e	cytidine to uridine editing	5/433	12/20670	2.765374460520553e-06	9	5	0.008601005915834051	27350, 54502, 60489, 140564, 200316
GO:0006955	BP	e	immune response	24/433	422/20670	1.078422110379139e-05	2	24	0.02530121496623272	1234, 1238, 2215, 3117, 3514, 3552, 3579, 5008, 5167, 5734, 6351, 6398, 6590, 6693, 7837, 8174, 8477, 8530, 8809, 9034, 10288, 56477, 79465, 80380
GO:0006968	BP	e	cellular defense response	8/433	53/20670	1.3492320700841172e-05	4	8	0.02530121496623272	1234, 3579, 4046, 6693, 10288, 10578, 23601, 653361
GO:0070098	BP	e	chemokine-mediated signaling pathway	9/433	70/20670	1.5009502980601078e-05	7	9	0.02530121496623272	1234, 1238, 3579, 3627, 5473, 6349, 6351, 6352, 9034
GO:0032496	BP	e	response to lipopolysaccharide	12/433	128/20670	1.6269569948546078e-05	5	12	0.02530121496623272	54, 717, 841, 2706, 4016, 4353, 5105, 5734, 5737, 6401, 6590, 342979
GO:0070383	BP	e	DNA cytosine deamination	4/433	9/20670	2.2015904215101393e-05	9	4	0.03043331826000849	27350, 60489, 140564, 200316
GO:0090082	BP	e	positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway	3/433	4/20670	3.595175464585957e-05	9	3	0.043517441787732244	7474, 7481, 22943
GO:0045071	BP	e	negative regulation of viral genome replication	7/433	45/20670	3.847696002452011e-05	6	7	0.043517441787732244	3669, 6352, 6590, 8638, 27350, 60489, 200316
GO:0030178	BP	e	negative regulation of Wnt signaling pathway	7/433	46/20670	4.457271854466142e-05	7	7	0.04621076595117773	3090, 4772, 22943, 25987, 85409, 129293, 147111
