# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007218	BP	e	neuropeptide signaling pathway	17/281	108/20670	1.0364292786590041e-13	6	17	1.2894216655796672e-09	116, 2741, 2825, 2834, 2847, 2922, 3062, 4829, 4988, 5368, 5443, 6753, 8001, 10800, 10886, 11249, 84539
GO:0007268	BP	e	chemical synaptic transmission	15/281	248/20670	1.6684405243118685e-06	7	15	0.010378534281481978	869, 1129, 1136, 1392, 1816, 2741, 3062, 3350, 3359, 3363, 3777, 5368, 6572, 8001, 55879
GO:0005887	CC	e	integral component of plasma membrane	52/281	1427/20670	5.589938781435102e-11	4	52	1.0078659622927488e-07	151, 944, 1129, 1136, 1308, 1816, 2700, 2741, 2825, 2834, 2847, 3036, 3062, 3084, 3350, 3359, 3363, 3595, 3747, 3777, 3822, 3823, 4829, 4868, 4883, 4914, 4988, 5961, 6753, 6865, 7224, 7225, 7253, 8001, 10242, 10800, 10886, 26872, 29953, 51305, 55879, 56142, 56147, 56624, 59350, 81796, 83259, 84063, 84539, 339390, 348980, 441168
GO:0045202	CC	e	synapse	19/281	420/20670	5.35221331110085e-06	3	19	0.003216680199971611	869, 1129, 1136, 1392, 1404, 1816, 2741, 3062, 3350, 3359, 3363, 3747, 3777, 5816, 8001, 55879, 140689, 375567, 402117
GO:0043204	CC	e	perikaryon	11/281	153/20670	8.16516664439519e-06	2	11	0.0036804488649611316	116, 778, 2741, 3747, 4988, 6606, 7054, 7432, 8001, 10008, 58157
GO:0043005	CC	e	neuron projection	15/281	337/20670	6.347217007987032e-05	4	15	0.01907338710900103	116, 1012, 1136, 2741, 2825, 2834, 2847, 3359, 4988, 6606, 6753, 7054, 7432, 8001, 55879
GO:0036057	CC	e	slit diaphragm	3/281	8/20670	0.0001323452531079776	6	3	0.034088355907669086	4868, 7225, 84063
GO:0005654	CC	p	nucleoplasm	24/281	3808/20670	4.040430419973999e-06	2	24	0.003216680199971611	861, 1111, 1468, 1846, 1875, 2825, 3084, 3248, 3642, 4602, 4901, 5318, 5744, 6331, 6606, 7490, 8370, 9837, 10635, 23594, 26271, 205860, 378708, 387103
GO:0005829	CC	p	cytosol	42/281	5301/20670	1.779958644105415e-05	2	42	0.006418530870644126	10, 151, 1033, 1111, 1644, 2886, 2888, 3248, 4602, 4829, 4901, 5336, 5475, 5744, 6295, 6606, 6769, 7054, 7490, 8293, 8623, 8792, 9232, 10017, 23594, 26271, 55655, 58157, 81624, 83758, 122970, 140578, 144193, 150786, 201299, 205860, 221150, 255189, 283807, 378708, 440672, 642597
GO:0005184	MF	e	neuropeptide hormone activity	6/281	30/20670	2.7008282237075944e-06	6	6	0.008839644918659817	116, 885, 1392, 2922, 5368, 7432
GO:0051428	MF	e	peptide hormone receptor binding	4/281	9/20670	3.992612881056828e-06	5	4	0.008839644918659817	116, 885, 5744, 7432
GO:0030594	MF	e	neurotransmitter receptor activity	8/281	82/20670	1.5765213395678494e-05	3	8	0.02288755822791094	1129, 1136, 2741, 3350, 3359, 3363, 8001, 55879
GO:0042277	MF	e	peptide binding	7/281	62/20670	2.0675301018889737e-05	3	7	0.02288755822791094	2825, 2847, 4883, 4988, 6753, 10886, 29953
GO:0005102	MF	e	signaling receptor binding	16/281	365/20670	4.352170416078928e-05	3	16	0.03566900679428841	116, 944, 1392, 2155, 2847, 2922, 3084, 4902, 5443, 6753, 11249, 55024, 55997, 83854, 84870, 84929
GO:0042923	MF	e	neuropeptide binding	5/281	30/20670	4.8331987526136055e-05	4	5	0.03566900679428841	2825, 2834, 2847, 4988, 6753
