# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0003341	BP	e	cilium movement	24/308	44/20670	7.828107313154405e-33	4	24	9.738948308295395e-29	1767, 1770, 8701, 9576, 27019, 51364, 54768, 55130, 56171, 64446, 79740, 83538, 83894, 89876, 93233, 118491, 123872, 139212, 144406, 220136, 221421, 345895, 348807, 387885
GO:0060271	BP	e	cilium assembly	25/308	211/20670	1.2619937591138745e-15	7	25	7.850232178567856e-12	1767, 2302, 4117, 27285, 51473, 55779, 64446, 79989, 80217, 83659, 85478, 118491, 123872, 127733, 144535, 146845, 150483, 154865, 159686, 199221, 200373, 220136, 339145, 399949, 647309
GO:0030317	BP	e	flagellated sperm motility	16/308	82/20670	6.892501422359452e-14	6	16	2.8583203398524647e-10	1767, 8701, 25790, 27019, 27285, 83853, 84229, 139212, 144406, 146845, 159686, 202500, 219670, 255101, 387712, 399949
GO:0007288	BP	e	sperm axoneme assembly	11/308	28/20670	1.153540800010623e-13	9	11	3.587800273233041e-10	9576, 55329, 55779, 79925, 80217, 84223, 84229, 159686, 255101, 286207, 286464
GO:0036158	BP	e	outer dynein arm assembly	10/308	22/20670	2.575348685149463e-13	7	10	6.407982598388894e-10	1767, 27019, 51364, 55130, 64446, 83538, 93233, 123872, 139212, 146562
GO:0036159	BP	e	inner dynein arm assembly	9/308	17/20670	7.057708219342069e-13	7	9	1.463415799280578e-09	27285, 51364, 56171, 123872, 126820, 139212, 146754, 348807, 387885
GO:0060294	BP	e	cilium movement involved in cell motility	8/308	13/20670	2.678195044346045e-12	5	8	4.7599177923870204e-09	27285, 54777, 83659, 126820, 144535, 150483, 221421, 345895
GO:0007018	BP	e	microtubule-based movement	13/308	85/20670	3.920721303141427e-10	3	13	6.097211716547812e-07	1767, 1770, 8701, 27019, 55567, 56171, 64446, 83657, 126820, 146754, 196385, 200132, 201625
GO:0060285	BP	e	cilium-dependent cell motility	7/308	16/20670	1.5538521157125604e-09	5	7	2.147941574619996e-06	55567, 55779, 56171, 80258, 85478, 92749, 146754
GO:1904158	BP	e	axonemal central apparatus assembly	5/308	6/20670	4.216030272995162e-09	5	5	5.245163262633281e-06	54768, 89876, 200162, 221421, 374407
GO:0003351	BP	e	epithelial cilium movement involved in extracellular fluid movement	7/308	20/20670	1.0003486059676422e-08	5	7	1.1313942733494034e-05	1767, 9576, 27019, 53340, 79925, 83853, 200162
GO:0090660	BP	e	cerebrospinal fluid circulation	6/308	14/20670	2.8319831515722687e-08	6	6	2.710207876054661e-05	1770, 25790, 80217, 83538, 144535, 200373
GO:0070286	BP	e	axonemal dynein complex assembly	6/308	14/20670	2.8319831515722687e-08	6	6	2.710207876054661e-05	6674, 85478, 92749, 123872, 139212, 352909
GO:0120197	BP	e	mucociliary clearance	5/308	8/20670	3.839433126887159e-08	6	5	3.4118848236859395e-05	1770, 80217, 83538, 144535, 200373
GO:0044782	BP	e	cilium organization	7/308	24/20670	4.243392933869624e-08	6	7	3.519470099351466e-05	55329, 83894, 84223, 128344, 257177, 375307, 387712
GO:0035082	BP	e	axoneme assembly	6/308	21/20670	4.6861862945213335e-07	8	6	0.00036438027306337446	2302, 54777, 79989, 221421, 345895, 399949
GO:0060287	BP	e	epithelial cilium movement involved in determination of left/right asymmetry	5/308	12/20670	5.169847854461372e-07	6	5	0.0003783416303373761	8701, 25790, 83538, 123872, 220136
GO:0044458	BP	e	motile cilium assembly	6/308	25/20670	1.4544873977057175e-06	8	6	0.0010052932063809351	2302, 51364, 123872, 200373, 221421, 352909
GO:0003356	BP	e	regulation of cilium beat frequency	4/308	7/20670	1.6335266615659118e-06	7	4	0.0010696160629758689	8701, 55130, 80217, 123872
GO:0007368	BP	e	determination of left/right symmetry	8/308	60/20670	2.8977541215441767e-06	5	8	0.001802547951306555	1767, 2302, 8701, 27019, 55130, 64446, 92749, 220136
GO:0003352	BP	e	regulation of cilium movement	3/308	4/20670	1.2962189988552045e-05	6	3	0.0073301184385261816	79645, 85478, 92749
GO:0120229	BP	e	protein localization to motile cilium	3/308	4/20670	1.2962189988552045e-05	7	3	0.0073301184385261816	8701, 83538, 159686
GO:0061966	BP	e	establishment of left/right asymmetry	3/308	5/20670	3.2047052980585746e-05	6	3	0.017334668962237707	25790, 146845, 219670
GO:0005930	CC	e	axoneme	37/308	114/20670	1.3121008324893442e-39	2	37	2.3657178009782872e-36	1767, 1770, 4117, 7802, 8701, 9576, 25790, 51473, 54768, 54777, 55130, 55259, 55329, 64446, 80217, 80258, 83450, 83538, 85478, 89876, 92749, 93233, 118491, 123872, 132851, 144406, 144535, 146754, 146845, 150082, 158798, 196385, 199221, 200373, 221421, 345895, 374407
GO:0031514	CC	e	motile cilium	31/308	102/20670	2.7230693591491226e-32	5	31	2.4548470272729337e-29	301, 1767, 1770, 4117, 7802, 8701, 27285, 53340, 55329, 55779, 79740, 83659, 83853, 84223, 84229, 85016, 85478, 89876, 92749, 115811, 118491, 122481, 144406, 146754, 154865, 200162, 221421, 345895, 348807, 374407, 387885
GO:0097729	CC	e	9+2 motile cilium	11/308	16/20670	2.7510484671648202e-17	6	11	1.653380128766057e-14	1767, 1770, 7802, 8701, 25790, 27019, 80217, 83538, 146845, 219670, 221421
GO:0036126	CC	e	sperm flagellum	17/308	67/20670	9.750534154119616e-17	7	17	4.395053269969417e-14	7802, 55329, 64446, 79925, 83450, 83894, 84223, 118491, 144406, 146754, 150483, 159686, 200373, 202500, 255101, 283726, 374407
GO:0005929	CC	e	cilium	24/308	214/20670	1.6572768200663942e-14	4	24	5.976140213159417e-12	4117, 7802, 8842, 27019, 51473, 53340, 55259, 56171, 79645, 79989, 83657, 83853, 93233, 127733, 150737, 161003, 165186, 192668, 200373, 201625, 220136, 257177, 389799, 399949
GO:0005858	CC	e	axonemal dynein complex	8/308	14/20670	6.168518401762277e-12	4	8	1.8536397797295641e-09	55259, 55567, 56171, 64446, 85478, 92749, 126820, 146754
GO:0030286	CC	e	dynein complex	9/308	27/20670	1.1936755950073253e-10	3	9	3.074567282568868e-08	1767, 1770, 7802, 8701, 55567, 56171, 146754, 196385, 201625
GO:0036064	CC	e	ciliary basal body	16/308	158/20670	1.9617902824068815e-09	3	16	4.4213848489745086e-07	79841, 79989, 80129, 80258, 85478, 115811, 118491, 128344, 134121, 199221, 225689, 257177, 283726, 286207, 339145, 348807
GO:0005874	CC	e	microtubule	21/308	294/20670	3.6425010854392064e-09	6	21	7.29714384116321e-07	1767, 1770, 4920, 8701, 9576, 27019, 27285, 51473, 55567, 56171, 57619, 64446, 80086, 80258, 83657, 83659, 146754, 196385, 200162, 201625, 341019
GO:0036157	CC	e	outer dynein arm	6/308	11/20670	4.524591536286651e-09	5	6	8.157838539924832e-07	1767, 1770, 27019, 64446, 93233, 118491
GO:0120293	CC	e	dynein axonemal particle	7/308	20/20670	1.0003486059676422e-08	5	7	1.6396623059633264e-06	6674, 7802, 27019, 51364, 64446, 146562, 352909
GO:0097728	CC	e	9+0 motile cilium	4/308	4/20670	4.835868954720754e-08	6	4	7.265893104467932e-06	8701, 25790, 83538, 219670
GO:0036156	CC	e	inner dynein arm	3/308	5/20670	3.2047052980585746e-05	5	3	0.003398872736705653	56171, 126820, 146754
