# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006325	BP	e	chromatin organization	70/2534	216/20670	5.1570452502099945e-15	4	70	1.2831759991572508e-11	1106, 1613, 2140, 3065, 3148, 3150, 3717, 4221, 4297, 5562, 5970, 6294, 7468, 7862, 8295, 8535, 8841, 9070, 9130, 9577, 9611, 9730, 9810, 10014, 10363, 10498, 10902, 11011, 11091, 11143, 22992, 23133, 23186, 23774, 26039, 26122, 26147, 26240, 27005, 27154, 51111, 51564, 54665, 54784, 54790, 54880, 54904, 55170, 55209, 55683, 55818, 57343, 57634, 58499, 64324, 79184, 79697, 80854, 83746, 84148, 84181, 84939, 112869, 114049, 148479, 165918, 171023, 222229, 284058, 387893
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	144/2534	637/20670	1.3149430248610376e-13	10	144	2.7265343620493615e-10	90, 207, 655, 1387, 1616, 1840, 1857, 1956, 1997, 2033, 2521, 2648, 2737, 3054, 3065, 3148, 3607, 3609, 3643, 3725, 4089, 4090, 4149, 4297, 4781, 4790, 4793, 4798, 4851, 4863, 4928, 5155, 5253, 5467, 5469, 5927, 5970, 5978, 5987, 5991, 6047, 6095, 6257, 6597, 6602, 6603, 6667, 6670, 6787, 6871, 6907, 6925, 7003, 7376, 7428, 7508, 7706, 7786, 7789, 7862, 7994, 8148, 8289, 8607, 8805, 8864, 9125, 9149, 9282, 9321, 9325, 9572, 9658, 9792, 9826, 9862, 9968, 10011, 10025, 10370, 10413, 10459, 10498, 10743, 10746, 10856, 11040, 11043, 22954, 23054, 23066, 23133, 23140, 23476, 23506, 23598, 23636, 24149, 25805, 26039, 26098, 27005, 29777, 30827, 51763, 54617, 54891, 54904, 55023, 55147, 55366, 55729, 55749, 55755, 55795, 55818, 57336, 57472, 57541, 63906, 64067, 64210, 64324, 64764, 79084, 79364, 79618, 79902, 79913, 79960, 80155, 80184, 80314, 81844, 84148, 84159, 84632, 84851, 115098, 116931, 133746, 146198, 221937, 283899
GO:0006338	BP	e	chromatin remodeling	44/2534	130/20670	1.1655295623735028e-10	5	44	1.7608982056516878e-07	1105, 1106, 1616, 2648, 3054, 3065, 3720, 4798, 5927, 6597, 6598, 6602, 6603, 6871, 7403, 8019, 8242, 8289, 8607, 9112, 9675, 9682, 10014, 10765, 10856, 11176, 22880, 22890, 23476, 27443, 53615, 54617, 54815, 54891, 55193, 55636, 55689, 57459, 79913, 84181, 84954, 93624, 152485, 283899
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	286/2534	1634/20670	1.2738593240788676e-10	10	286	1.7608982056516878e-07	405, 467, 688, 817, 865, 902, 904, 905, 1050, 1105, 1106, 1112, 1388, 1523, 1609, 1831, 1874, 1997, 2005, 2077, 2101, 2117, 2521, 2648, 2737, 3065, 3148, 3297, 3607, 3660, 3661, 3725, 4086, 4089, 4090, 4097, 4149, 4193, 4221, 4306, 4520, 4781, 4782, 4790, 4802, 4848, 4899, 5087, 5089, 5253, 5451, 5454, 5467, 5469, 5926, 5970, 5991, 5993, 6095, 6257, 6294, 6314, 6597, 6598, 6602, 6603, 6648, 6667, 6670, 6671, 6722, 6778, 6871, 6878, 6881, 6907, 6924, 6925, 6945, 7003, 7024, 7025, 7027, 7227, 7543, 7551, 7559, 7565, 7581, 7587, 7589, 7592, 7629, 7633, 7638, 7691, 7693, 7701, 7709, 7727, 7738, 7741, 7745, 7767, 7771, 7776, 7789, 7799, 7862, 7975, 8019, 8028, 8289, 8295, 8427, 8554, 8607, 8609, 8625, 8841, 9278, 9282, 9422, 9439, 9442, 9611, 9612, 9658, 9667, 9726, 9819, 9831, 9841, 9923, 9925, 9968, 10025, 10127, 10168, 10172, 10194, 10318, 10336, 10401, 10520, 10608, 10725, 10743, 10838, 10856, 11016, 11091, 22850, 22869, 22882, 22890, 22906, 22926, 22992, 23013, 23036, 23099, 23133, 23186, 23338, 23361, 23389, 23394, 23598, 23660, 23774, 25799, 25925, 26122, 26137, 26145, 26152, 26959, 27154, 29777, 49854, 51043, 51562, 51588, 51742, 54753, 54862, 55023, 55250, 55279, 55422, 55689, 55769, 55818, 56731, 57178, 57209, 57215, 57325, 57336, 57343, 57507, 57541, 57573, 57621, 57693, 57786, 58190, 58525, 64067, 64207, 64763, 64764, 64864, 65980, 65982, 65986, 79027, 79230, 79364, 79724, 79753, 79776, 79809, 79842, 79891, 79894, 79960, 80264, 80314, 80778, 81669, 81856, 83637, 84124, 84159, 84295, 84458, 84622, 84717, 84775, 84914, 90338, 90485, 91748, 92285, 92822, 93624, 112869, 116931, 122953, 125919, 133746, 140467, 146050, 146198, 147687, 147694, 147807, 149076, 153222, 163049, 163131, 171017, 197320, 200014, 201514, 221937, 283248, 283337, 284309, 284371, 284443, 284459, 353274, 360023, 374655, 388558, 390980, 400720, 403341, 619279, 643836, 100131017, 100131827, 100381270
GO:0045892	BP	e	negative regulation of transcription, DNA-templated	120/2534	553/20670	2.6490209164206393e-10	10	120	2.9960426564717433e-07	605, 655, 1050, 1112, 1611, 1616, 1788, 1911, 2621, 2737, 3065, 3148, 3191, 3399, 3607, 3609, 3720, 3725, 4089, 4152, 4193, 4204, 4221, 4664, 4851, 4863, 5155, 5187, 5195, 5451, 5467, 5859, 5926, 5970, 5977, 5978, 5991, 6597, 6670, 6945, 7189, 7329, 7376, 7559, 7727, 7767, 7994, 8242, 8427, 8535, 8805, 8841, 8864, 9044, 9139, 9541, 9572, 9611, 9612, 9682, 9686, 10013, 10014, 10172, 10370, 10514, 10614, 10765, 10856, 11060, 11143, 22882, 22893, 23013, 23186, 23211, 23598, 23613, 24149, 25776, 25836, 25855, 25942, 49854, 51053, 51588, 51763, 54815, 54856, 54880, 55170, 55269, 55366, 55689, 55729, 55749, 55929, 57786, 64412, 79618, 79697, 80012, 80314, 80764, 83746, 84148, 84159, 84864, 91748, 124359, 144097, 144165, 148523, 152485, 163126, 221937, 283248, 376940, 387893, 100381270
GO:0000184	BP	e	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	19/2534	34/20670	1.3318216891739941e-09	10	19	1.3807661362511384e-06	4116, 5073, 5394, 5976, 9704, 9775, 9887, 10921, 23049, 23293, 23708, 26019, 55181, 55802, 56006, 65109, 65110, 154197, 167227
GO:0006397	BP	e	mRNA processing	50/2534	171/20670	2.3794774446645487e-09	8	50	2.277159914543973e-06	3191, 3297, 5566, 5725, 5930, 6041, 6429, 6830, 8106, 8175, 8563, 9129, 9130, 9169, 9541, 9589, 9924, 10262, 10713, 10949, 11129, 22984, 22985, 23076, 25962, 26993, 29890, 51574, 51593, 51755, 55119, 55131, 55147, 55954, 57187, 57466, 57661, 57794, 58506, 58517, 60493, 79042, 79228, 79706, 80746, 91603, 140890, 201626, 246175, 494115
GO:0016567	BP	e	protein ubiquitination	104/2534	480/20670	5.062133866798846e-09	9	104	4.498429102631746e-06	207, 409, 867, 997, 1840, 4193, 4799, 4850, 5930, 5987, 7260, 7428, 7726, 7737, 7844, 8216, 8315, 8451, 8697, 8805, 8816, 8881, 9442, 9730, 9820, 9862, 9903, 9968, 10296, 10489, 11043, 11060, 11237, 22954, 23053, 23066, 23087, 23113, 23140, 23276, 23295, 23338, 23352, 25820, 25827, 25853, 25937, 26190, 26249, 27252, 51070, 51434, 55008, 55128, 55167, 55298, 55527, 55823, 57154, 57617, 57674, 57799, 63891, 64207, 64320, 64777, 79102, 79594, 79654, 79754, 79786, 79791, 79872, 80176, 80311, 83892, 84085, 84133, 84231, 84447, 84461, 84851, 84893, 89122, 89970, 90864, 91107, 115426, 122809, 140459, 140461, 144699, 163859, 165918, 197131, 197370, 253980, 254170, 254225, 257160, 257218, 283219, 283755, 284996
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	207/2534	1146/20670	5.82629296519775e-09	11	207	4.832327385335013e-06	25, 90, 207, 405, 467, 655, 658, 688, 865, 904, 905, 1050, 1387, 1388, 1634, 1856, 1857, 1874, 1956, 1997, 2005, 2022, 2033, 2101, 2648, 2737, 2969, 3054, 3065, 3074, 3148, 3297, 3607, 3655, 3660, 3661, 3717, 3725, 4005, 4086, 4089, 4097, 4149, 4204, 4221, 4297, 4520, 4781, 4782, 4790, 4802, 4851, 4863, 4899, 5087, 5089, 5187, 5310, 5451, 5454, 5467, 5469, 5587, 5894, 5926, 5970, 5977, 5978, 5991, 5993, 6041, 6047, 6095, 6257, 6597, 6598, 6667, 6670, 6722, 6760, 6778, 6907, 6925, 6945, 7003, 7024, 7025, 7027, 7110, 7189, 7376, 7422, 7525, 7543, 7581, 7589, 7629, 7709, 7767, 7771, 7799, 7994, 8028, 8085, 8202, 8440, 8546, 8573, 8609, 8625, 8772, 8841, 9070, 9282, 9572, 9968, 10014, 10127, 10135, 10168, 10318, 10370, 10413, 10725, 10856, 10902, 11016, 11060, 11143, 22847, 22885, 22926, 23036, 23054, 23076, 23082, 23126, 23361, 23476, 23648, 25836, 25925, 25937, 25942, 26036, 26039, 26053, 26993, 27043, 27161, 29110, 30061, 51042, 51043, 51741, 51742, 53635, 54617, 54790, 54828, 55023, 55252, 55628, 55636, 55683, 55818, 56005, 56980, 57178, 57343, 57506, 58490, 58499, 64207, 64763, 64764, 64784, 80279, 80314, 83637, 84148, 84622, 84901, 84954, 90326, 90865, 92285, 112770, 126626, 130557, 152485, 153222, 163131, 171017, 171023, 200186, 201163, 205717, 221656, 284371, 284443, 340061, 353274, 375790, 388558, 643836, 100131827
GO:0000122	BP	e	negative regulation of transcription by RNA polymerase II	173/2534	922/20670	7.074134372746136e-09	11	173	5.500581608208418e-06	467, 595, 688, 857, 865, 896, 1387, 1523, 1647, 1786, 1788, 1942, 2005, 2033, 2077, 2117, 2737, 3054, 3065, 3148, 3297, 3399, 3607, 3660, 3661, 3720, 3725, 4089, 4090, 4149, 4193, 4204, 4221, 4782, 4790, 4799, 4848, 4851, 4853, 5187, 5467, 5469, 5927, 5970, 5977, 5978, 5987, 5993, 6597, 6670, 6778, 6872, 6907, 6944, 6945, 7025, 7189, 7216, 7227, 7329, 7376, 7422, 7468, 7551, 7633, 7693, 7709, 7727, 7767, 7799, 7975, 8241, 8427, 8535, 8554, 8609, 8841, 8863, 8864, 9093, 9099, 9112, 9139, 9541, 9555, 9572, 9611, 9612, 9730, 9925, 10013, 10014, 10127, 10174, 10363, 10370, 10401, 10413, 10459, 10608, 10614, 11060, 22882, 22890, 23013, 23168, 23309, 23598, 25836, 25855, 25937, 25942, 26137, 26145, 26147, 26152, 26155, 29997, 30818, 49854, 51043, 51564, 51574, 51588, 51603, 53615, 54815, 54880, 55170, 55506, 55689, 55729, 55841, 55929, 56160, 57209, 57215, 57459, 57507, 57541, 57600, 57621, 57727, 64207, 64324, 64412, 65986, 79230, 79577, 79595, 79618, 79648, 80014, 80314, 80764, 83860, 84159, 84295, 84458, 90865, 122953, 146198, 163126, 197320, 200014, 201163, 221656, 221937, 284459, 342371, 387893, 403341, 100381270
GO:0006364	BP	e	rRNA processing	38/2534	117/20670	7.787816428751732e-09	9	38	5.699307305300018e-06	705, 1736, 5394, 6041, 8568, 8602, 9136, 9188, 9724, 9775, 10199, 10528, 10557, 10813, 22894, 22984, 23076, 23160, 23195, 23223, 23404, 23481, 27043, 29997, 51077, 51602, 54512, 54555, 54606, 54663, 55035, 55636, 55661, 57109, 65083, 84128, 134430, 317781
GO:0015031	BP	e	protein transport	82/2534	352/20670	8.858334842481159e-09	5	82	6.122585765294894e-06	321, 409, 857, 1130, 1497, 2733, 2801, 4534, 6238, 6293, 8086, 8527, 9117, 9183, 9342, 9527, 9570, 9818, 9961, 10043, 10066, 10067, 10270, 10466, 10482, 10533, 10565, 10897, 10945, 11021, 11070, 11230, 11336, 23041, 23165, 23192, 23225, 23245, 23279, 23299, 23317, 23355, 25839, 25930, 26276, 27147, 27252, 28952, 29097, 30845, 51272, 53916, 54520, 54918, 55341, 55667, 55707, 55738, 55795, 57182, 57561, 79643, 80184, 80199, 80230, 84067, 84079, 84138, 84522, 84971, 85406, 90203, 91782, 112574, 113178, 115703, 149371, 157680, 167691, 253725, 375035, 401548
GO:0008380	BP	e	RNA splicing	48/2534	168/20670	1.6895225454267094e-08	8	48	1.1062815782975628e-05	1659, 2521, 4116, 4857, 5725, 6429, 6830, 8148, 8233, 8449, 8563, 8899, 9128, 9129, 9130, 9169, 9410, 9541, 9589, 10081, 10199, 10250, 10262, 10713, 10921, 11129, 22985, 23076, 25962, 26993, 29890, 51574, 51755, 55119, 55131, 55147, 55702, 55954, 57187, 57794, 58506, 58517, 79228, 79706, 81576, 91603, 140890, 494115
GO:0006281	BP	e	DNA repair	58/2534	233/20670	9.674783092720351e-08	7	58	6.0181988228266944e-05	143, 1454, 1647, 2067, 2071, 2072, 2237, 2956, 3297, 3364, 3835, 4221, 4798, 5422, 5884, 5976, 6240, 6749, 7374, 7508, 7737, 8243, 8295, 8451, 8607, 8930, 9656, 10038, 10039, 10856, 11073, 11143, 22890, 23049, 23198, 26122, 29997, 51008, 51111, 51343, 51347, 51550, 54617, 54891, 55929, 56160, 57109, 64210, 65123, 80198, 80820, 84164, 84939, 133746, 221120, 257218, 259282, 283899
GO:0044154	BP	e	histone H3-K14 acetylation	11/2534	16/20670	2.2273219271064105e-07	13	11	0.00013195291473871835	2648, 6871, 7862, 11091, 11143, 23774, 27154, 51562, 55689, 57325, 112869
GO:0043966	BP	e	histone H3 acetylation	21/2534	52/20670	2.8422709863756546e-07	12	21	0.0001607304242795433	2648, 5187, 6314, 6871, 6878, 6881, 7862, 7994, 8295, 11091, 11143, 23338, 23774, 27154, 51562, 55689, 57325, 79903, 79960, 84148, 112869
GO:0016573	BP	e	histone acetylation	19/2534	44/20670	2.980609658347492e-07	11	19	0.00016122506417174412	1387, 2033, 2648, 4204, 6872, 6881, 7994, 8202, 8295, 8607, 9329, 9862, 10856, 10902, 53615, 55689, 80314, 84148, 112869
GO:0090503	BP	e	RNA phosphodiester bond hydrolysis, exonucleolytic	16/2534	33/20670	3.697345956740196e-07	8	16	0.00019166117103251991	4848, 5073, 9337, 9924, 22894, 23357, 25819, 51692, 54512, 57472, 114034, 115752, 154197, 167227, 201626, 246175
GO:0006468	BP	e	protein phosphorylation	98/2534	493/20670	9.815105262305578e-07	7	98	0.0004884388982733747	25, 90, 156, 207, 369, 595, 658, 817, 904, 984, 994, 1019, 1196, 1445, 1453, 1454, 1613, 2011, 2621, 2870, 2931, 3364, 3609, 3643, 3717, 3984, 4086, 4090, 4140, 4216, 4638, 4750, 4882, 5155, 5290, 5562, 5565, 5566, 5583, 5586, 5587, 5610, 5681, 5871, 5894, 6041, 6093, 6446, 6787, 6789, 6872, 6878, 6881, 6908, 7048, 7204, 7297, 7786, 8573, 8621, 8780, 8895, 8899, 9024, 9113, 9149, 9463, 9891, 9943, 10295, 10461, 10641, 10746, 11011, 11040, 11214, 11329, 22848, 23049, 23139, 23476, 23552, 29110, 51347, 51755, 54861, 55589, 56975, 57600, 60673, 83860, 83931, 90956, 91754, 140901, 167359, 415116, 440275
GO:0006355	BP	e	regulation of transcription, DNA-templated	103/2534	526/20670	1.0834773357579752e-06	9	103	0.0005184439051601911	25, 694, 984, 1050, 1112, 1387, 1613, 1616, 1856, 2022, 2101, 2130, 2521, 2648, 3054, 3607, 3643, 3660, 4664, 4665, 4799, 4802, 4851, 5387, 5970, 5978, 5991, 6095, 6667, 6670, 6871, 6945, 7289, 7428, 7468, 7542, 7581, 7587, 7589, 7638, 7741, 7799, 7862, 7994, 8019, 8085, 8295, 8427, 8544, 9325, 9392, 9439, 9658, 9726, 10127, 10307, 10363, 10498, 10514, 11016, 11091, 11143, 11176, 22913, 23476, 23509, 23598, 23660, 25937, 26147, 29115, 30827, 51008, 51562, 51593, 54856, 54904, 55269, 55422, 55536, 55634, 55636, 55689, 55729, 55749, 55841, 56731, 57109, 57325, 57541, 57786, 64324, 64412, 79913, 79960, 80014, 80264, 80764, 80854, 84164, 112869, 144108, 342371
GO:0000398	BP	e	mRNA splicing, via spliceosome	46/2534	182/20670	1.1917433048938532e-06	11	46	0.0005491288317105344	1659, 4116, 4857, 6429, 6434, 7737, 8175, 8220, 8233, 8241, 8449, 8899, 9092, 9128, 9129, 9343, 9410, 9716, 9733, 9775, 9785, 9879, 9904, 10212, 10250, 10262, 10713, 10921, 22913, 23398, 24144, 25929, 26121, 51634, 54883, 54957, 55094, 55660, 56949, 57703, 57721, 79753, 84292, 84811, 84950, 84991
