# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0035195	BP	e	gene silencing by miRNA	119/519	579/20670	5.676598207657029e-75	9	119	7.06225583014611e-71	400765, 400931, 406882, 406886, 406888, 406895, 406908, 406914, 406915, 406916, 406924, 406927, 406930, 406944, 406945, 406946, 406961, 406962, 407000, 407015, 407023, 407029, 407032, 407036, 407056, 442892, 442893, 442900, 442901, 442904, 442905, 442908, 442909, 442910, 442911, 494326, 494330, 494331, 494332, 494333, 554212, 574034, 574038, 574408, 574409, 574410, 574413, 574434, 574444, 574450, 574451, 574452, 574453, 574454, 574508, 619555, 664612, 664613, 664615, 664616, 693130, 693134, 693137, 693138, 693143, 693147, 693148, 693154, 693160, 693161, 693163, 693165, 693166, 693171, 693174, 693175, 693177, 693180, 693182, 693183, 693186, 693194, 693209, 693210, 693211, 693225, 693228, 693229, 693233, 724024, 724025, 724026, 724031, 768212, 768216, 768217, 100126297, 100126315, 100126317, 100126331, 100126333, 100126334, 100126335, 100126343, 100126345, 100126355, 100302123, 100302144, 100302149, 100302150, 100302153, 100302256, 100313824, 100313838, 100500826, 100500828, 100500895, 100616134, 100616354
GO:0006396	BP	e	RNA processing	98/519	553/20670	6.053031750579448e-55	7	98	3.765288400447946e-51	9984, 26767, 26785, 26786, 26796, 114655, 319139, 594837, 641451, 677776, 677816, 677834, 677843, 677845, 692058, 692075, 692076, 692110, 692157, 692209, 692212, 692215, 692233, 767565, 767566, 767567, 767568, 767569, 767577, 767578, 767581, 767583, 767585, 767588, 767589, 767590, 767591, 767592, 767593, 767594, 767595, 767596, 767597, 767599, 767603, 767604, 767605, 767608, 767609, 767610, 767611, 767612, 100033413, 100033415, 100033417, 100033422, 100033423, 100033424, 100033427, 100033428, 100033433, 100033434, 100033435, 100033436, 100033437, 100033438, 100033439, 100033441, 100033443, 100033445, 100033446, 100033451, 100033460, 100033603, 100033799, 100033801, 100033805, 100033811, 100033821, 100036564, 100113379, 100113389, 100124539, 100379141, 100379250, 100873856, 100873857, 107397391, 107397392, 109616972, 109616974, 109616977, 109616978, 109616992, 109617003, 109617012, 109617013, 109617020
GO:1905652	BP	e	negative regulation of artery morphogenesis	4/519	4/20670	3.930081241562244e-07	8	4	0.0016298046908758625	574408, 574452, 574453, 664616
GO:0035278	BP	e	miRNA-mediated gene silencing by inhibition of translation	12/519	87/20670	1.774401150318768e-06	10	12	0.004415064942223159	406895, 406915, 406924, 407000, 407023, 442892, 442910, 442911, 574453, 693175, 100126355, 100302203
GO:0001580	BP	e	detection of chemical stimulus involved in sensory perception of bitter taste	8/519	37/20670	3.0433880875174135e-06	6	8	0.006310465199467357	50838, 50839, 54429, 259290, 259292, 259293, 259295, 259296
GO:0045944	BP	p	positive regulation of transcription by RNA polymerase II	7/519	1146/20670	1.3365514150386824e-06	11	7	0.004157009038624062	10432, 22877, 29128, 64375, 158431, 339488, 730051
GO:0007165	BP	p	signal transduction	8/519	1104/20670	1.0844981770657489e-05	4	8	0.019274631172678545	3623, 4992, 5891, 9311, 9984, 10666, 55367, 81610
GO:0005730	CC	e	nucleolus	103/519	1308/20670	7.988205226246848e-26	5	103	1.4402734022923067e-22	1663, 10432, 10984, 26767, 26785, 26786, 26796, 55509, 55657, 84909, 114655, 319139, 594837, 641451, 677776, 677816, 677834, 677843, 677845, 692058, 692075, 692076, 692110, 692157, 692209, 692212, 692215, 692233, 767565, 767566, 767567, 767568, 767569, 767577, 767578, 767581, 767583, 767585, 767588, 767589, 767590, 767591, 767592, 767593, 767594, 767595, 767596, 767597, 767599, 767603, 767604, 767605, 767608, 767609, 767610, 767611, 767612, 100033413, 100033415, 100033417, 100033422, 100033423, 100033424, 100033427, 100033428, 100033433, 100033434, 100033435, 100033436, 100033437, 100033438, 100033439, 100033441, 100033443, 100033445, 100033446, 100033451, 100033460, 100033603, 100033799, 100033801, 100033805, 100033811, 100033821, 100036564, 100113379, 100113389, 100124539, 100379141, 100379250, 100873856, 100873857, 107397391, 107397392, 109616972, 109616974, 109616977, 109616978, 109616992, 109617003, 109617012, 109617013, 109617020
GO:0005829	CC	p	cytosol	43/519	5301/20670	2.5091411254362456e-24	2	43	2.2619907245807752e-21	2622, 3039, 4703, 5016, 5373, 6799, 7335, 8029, 8218, 9942, 10811, 10841, 23015, 23178, 23417, 26140, 26873, 27031, 27148, 27232, 50944, 55075, 55367, 55509, 57650, 64577, 65268, 80336, 81610, 84909, 92335, 93426, 121952, 130271, 130340, 130872, 158135, 200539, 202333, 221178, 246181, 440270, 100653515
GO:0005737	CC	p	cytoplasm	56/519	4848/20670	1.1351268512836453e-13	2	56	5.516291369880765e-11	1195, 1558, 1565, 1663, 1822, 2175, 3623, 5891, 6799, 7335, 7919, 9984, 10432, 10841, 22952, 23178, 23417, 25862, 27148, 51079, 51175, 51380, 55367, 55876, 55930, 56164, 57519, 57650, 59269, 65268, 79716, 81610, 84074, 84964, 92335, 113220, 121952, 123041, 124093, 130271, 130540, 149013, 152992, 164395, 220001, 221178, 221400, 246181, 246744, 284001, 284565, 284805, 338657, 401262, 729440, 100130086
