# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0001525	BP	e	angiogenesis	56/1302	232/20670	1.124205008472341e-18	3	56	1.3986234510404394e-14	94, 182, 187, 285, 302, 1284, 1490, 1545, 1890, 1893, 2004, 2049, 2050, 2296, 2321, 2702, 3162, 3339, 3397, 3576, 3678, 3791, 3953, 4240, 4313, 4323, 4814, 4846, 5054, 5613, 6347, 6464, 7075, 7410, 7476, 8325, 8742, 8828, 8829, 8862, 10266, 23554, 23670, 25865, 27286, 51129, 51330, 54345, 54538, 54567, 54922, 57007, 57381, 80149, 81575, 113026
GO:0045766	BP	e	positive regulation of angiogenesis	39/1302	155/20670	4.750236265686714e-14	7	39	2.9548844690704203e-10	94, 133, 187, 285, 306, 728, 947, 958, 1003, 1116, 1512, 1545, 1893, 2113, 2321, 3162, 3315, 3373, 3553, 3576, 3791, 4814, 4846, 5054, 5293, 6237, 6423, 6774, 7057, 7075, 7424, 8742, 8829, 10266, 25865, 51129, 80149, 126393, 406913
GO:0007155	BP	e	cell adhesion	75/1302	485/20670	4.17433716755172e-13	2	75	1.7310976233836982e-09	390, 1292, 1490, 1545, 1947, 1969, 2013, 2050, 2242, 2683, 3280, 3371, 3383, 3384, 3385, 3491, 3671, 3678, 3691, 3910, 4059, 4239, 4240, 4604, 4739, 4814, 5420, 5613, 5754, 5829, 6094, 6347, 6387, 7057, 7122, 8406, 8578, 8727, 8828, 9071, 9235, 10076, 10457, 11117, 23384, 25865, 26025, 26167, 27180, 51330, 54510, 54587, 56098, 56099, 56100, 56101, 56102, 56103, 56104, 56105, 56106, 56107, 56108, 56109, 56110, 56111, 56112, 56113, 57007, 57526, 117583, 284217, 341640, 388585, 728577
GO:0006954	BP	e	inflammatory response	63/1302	393/20670	6.522318285898462e-12	4	63	1.6228832358972552e-08	12, 133, 604, 654, 720, 721, 728, 837, 958, 1051, 1116, 1535, 1893, 1903, 1969, 2532, 2687, 2852, 2919, 2920, 3339, 3373, 3428, 3487, 3553, 3554, 3556, 3576, 3588, 4069, 4776, 5293, 5606, 5919, 5966, 5971, 6279, 6280, 6283, 6347, 6556, 6774, 7040, 7057, 7097, 7128, 7132, 7133, 8737, 9261, 10312, 10392, 10758, 28511, 50848, 56925, 64332, 79155, 79792, 80149, 80833, 84695, 84818
GO:0008285	BP	e	negative regulation of cell population proliferation	67/1302	437/20670	1.1316813525134487e-11	5	67	2.346541284436636e-08	94, 133, 148, 444, 604, 1003, 1026, 1030, 1488, 1545, 2113, 2683, 2852, 2919, 3303, 3304, 3430, 3486, 3553, 3576, 3621, 3659, 3672, 4091, 4487, 4846, 5371, 5745, 5784, 5916, 5920, 6423, 6774, 7040, 7042, 7057, 7071, 7097, 7157, 7704, 7832, 8313, 8335, 8462, 8519, 9111, 9314, 9536, 9537, 10076, 10457, 10630, 22809, 25959, 26136, 26471, 51548, 53834, 54567, 55079, 57007, 64855, 79812, 127435, 163702, 201501, 407010
GO:0030335	BP	e	positive regulation of cell migration	45/1302	248/20670	1.1303353637573072e-10	7	45	2.0089288943578084e-07	389, 1003, 1512, 1601, 1906, 1969, 2268, 2294, 2321, 2852, 3491, 3553, 3678, 3791, 4192, 4313, 4323, 4641, 4739, 5175, 5293, 5420, 6387, 6608, 6615, 6774, 7040, 7046, 7057, 7205, 8322, 8503, 9647, 10457, 10630, 22800, 23224, 51176, 56034, 56920, 57214, 64115, 80139, 83706, 286077
GO:0051607	BP	e	defense response to virus	38/1302	210/20670	3.3962699756486923e-09	7	38	4.2252994767045385e-06	596, 684, 958, 2633, 2635, 3428, 3588, 3659, 3665, 3764, 4615, 4939, 4940, 5359, 5366, 7097, 8519, 8692, 10060, 10346, 10410, 10581, 51191, 54541, 55601, 56829, 64135, 64170, 79798, 80149, 81622, 83666, 84166, 85363, 91351, 91607, 151636, 163702
GO:0050729	BP	e	positive regulation of inflammatory response	24/1302	98/20670	6.221971833116967e-09	7	24	6.7687552926092025e-06	834, 1051, 2113, 2828, 3430, 3553, 3949, 4192, 4258, 4792, 4814, 5054, 6279, 6280, 6283, 7097, 7132, 8692, 8737, 9111, 9173, 64332, 283131, 406913
GO:0043123	BP	e	positive regulation of I-kappaB kinase/NF-kappaB signaling	35/1302	188/20670	6.528821116575069e-09	8	35	6.7687552926092025e-06	330, 389, 684, 834, 843, 958, 1491, 1893, 3162, 3553, 3654, 4055, 4615, 5966, 6275, 6283, 6737, 7132, 8737, 8743, 8795, 8915, 9830, 10346, 10392, 10475, 10758, 10892, 64170, 79155, 80216, 80833, 85363, 114769, 497661
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	78/1302	637/20670	1.7071129951505613e-08	10	78	1.633707136359087e-05	94, 602, 1017, 1051, 1316, 2113, 2122, 2294, 2295, 2296, 2313, 2535, 3553, 3621, 3659, 3665, 4041, 4192, 4609, 4783, 4855, 5080, 5292, 5371, 5465, 5606, 6239, 6256, 6464, 6615, 6672, 6737, 6774, 7026, 7040, 7046, 7157, 7476, 7545, 7704, 8321, 8322, 8324, 8463, 8915, 9124, 9314, 9830, 10062, 10346, 10365, 10475, 10891, 11030, 22809, 23090, 23541, 26471, 29028, 29946, 29969, 51085, 51176, 54345, 55840, 63976, 64855, 79366, 81606, 83666, 84105, 84662, 84913, 85363, 92565, 151636, 163732, 388585
