# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0030488	BP	e	tRNA methylation	15/1578	33/20670	4.53616712474861e-09	11	15	9.405742533166243e-06	25917, 51531, 54482, 55006, 55039, 55798, 57570, 60487, 79828, 79979, 91801, 127253, 131965, 221078, 339175
GO:0033617	BP	e	mitochondrial cytochrome c oxidase assembly	10/1578	22/20670	1.8011586356748676e-06	8	10	0.001757497174415911	6341, 10063, 28958, 29090, 51287, 55744, 84334, 389203, 100131801, 100303755
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	174/1578	1634/20670	4.751971147145239e-06	10	174	0.004222805217259566	406, 466, 571, 892, 1164, 1385, 1390, 1432, 1810, 1869, 1876, 1998, 2115, 3066, 3149, 4084, 4087, 4092, 4094, 4194, 4208, 4300, 4775, 5316, 5456, 5932, 6304, 6605, 6873, 6883, 6921, 6940, 7029, 7073, 7342, 7541, 7556, 7561, 7584, 7594, 7596, 7675, 7678, 7690, 7699, 7702, 7748, 7769, 7770, 8089, 8187, 8409, 8464, 9063, 9443, 9477, 9534, 9575, 9668, 9849, 9988, 10001, 10553, 10773, 10780, 10781, 11267, 22807, 22835, 23314, 23493, 26009, 29915, 29942, 29994, 30832, 50810, 51003, 51105, 51193, 51351, 51427, 51710, 54797, 54811, 54816, 55145, 55552, 55659, 55758, 55762, 55869, 55892, 56943, 57018, 57677, 57711, 58487, 59348, 63934, 64288, 64376, 65251, 79088, 79177, 79673, 79692, 79800, 80095, 80110, 80853, 83744, 84108, 84307, 84525, 84614, 84765, 84924, 85460, 90075, 90317, 90592, 90594, 91392, 91664, 92002, 92283, 93134, 112950, 117154, 117608, 121274, 124961, 126068, 126231, 147657, 147686, 147923, 147947, 148206, 148266, 148268, 152518, 152687, 158586, 162239, 162963, 163087, 163255, 168374, 170958, 199692, 199777, 254065, 255403, 284323, 284370, 284391, 285268, 339318, 339324, 339500, 340252, 342908, 347344, 353088, 388536, 388561, 388566, 400713, 440515, 442319, 642280, 728927
GO:0032543	BP	e	mitochondrial translation	11/1578	33/20670	1.9883420027991066e-05	8	11	0.014551154621660992	6183, 28957, 51069, 51081, 51373, 55278, 57038, 64960, 64963, 64968, 78988
GO:0015031	BP	e	protein transport	49/1578	352/20670	4.17221614505209e-05	5	49	0.028836967255885027	585, 1070, 5481, 5877, 6284, 7494, 8773, 8825, 9367, 9554, 10203, 10282, 22796, 27241, 28966, 51068, 51124, 51375, 51501, 51534, 51542, 51668, 55054, 55293, 55610, 55706, 55745, 55850, 56648, 56943, 57020, 57231, 57706, 60561, 64130, 79363, 79666, 81562, 81929, 83452, 84376, 92482, 113402, 115201, 150684, 163486, 348995, 387923, 404636
GO:0060271	BP	e	cilium assembly	33/1578	211/20670	7.20128309610496e-05	7	33	0.04266245857078181	585, 8100, 8195, 8481, 8555, 10464, 22832, 22873, 27077, 27241, 28981, 51098, 51715, 55717, 56912, 57560, 65062, 79363, 79582, 80173, 84984, 90410, 92482, 112752, 117177, 132320, 137392, 200728, 200894, 255758, 282809, 285331, 317662
GO:0007186	BP	p	G protein-coupled receptor signaling pathway	9/1578	921/20670	1.939504651158548e-21	5	9	2.4129377365063495e-17	157, 5330, 7852, 8601, 57486, 83941, 160897, 202018, 284521
GO:0035195	BP	p	gene silencing by miRNA	4/1578	579/20670	2.3966516084709254e-15	9	4	1.4908371330493393e-11	406912, 407017, 693158, 100423036
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	1/1578	432/20670	6.162528805466854e-14	5	1	2.5556006956271045e-10	284521
GO:0007155	BP	p	cell adhesion	3/1578	485/20670	2.6996958237404724e-13	2	3	8.396728935788805e-10	2241, 4254, 9404
GO:0002250	BP	p	adaptive immune response	3/1578	402/20670	1.273461370940258e-10	3	3	3.16862658317355e-07	384, 4179, 55824
GO:0007267	BP	p	cell-cell signaling	0/1578	226/20670	3.5314961478324984e-08	3	0	6.276477653597731e-05	
GO:0006955	BP	p	immune response	7/1578	422/20670	7.525189056894407e-08	2	7	0.00011702609632102916	657, 1147, 7494, 7852, 10561, 10964, 55016
GO:0007268	BP	p	chemical synaptic transmission	1/1578	248/20670	9.747055513245024e-08	7	1	0.0001347367973780904	440279
GO:0042742	BP	p	defense response to bacterium	0/1578	208/20670	1.0875311248076788e-07	6	0	0.00013529974723732333	
GO:0007165	BP	p	signal transduction	43/1578	1104/20670	2.5038507093513117e-07	4	43	0.0002831855152276334	157, 472, 952, 1193, 1385, 1390, 1432, 1460, 2868, 3622, 4690, 5082, 5150, 5529, 5571, 5607, 5612, 5902, 5912, 5922, 6259, 7873, 8428, 8439, 8550, 8800, 8935, 9404, 9575, 9989, 9994, 10010, 23380, 23607, 26297, 50810, 55824, 60485, 79658, 80318, 80763, 120892, 252995
GO:0006954	BP	p	inflammatory response	8/1578	393/20670	1.8364651770281203e-06	4	8	0.001757497174415911	1147, 4775, 5423, 7852, 9435, 11019, 55848, 144811
GO:0007166	BP	p	cell surface receptor signaling pathway	5/1578	292/20670	1.1175615556740529e-05	5	5	0.009269055542760595	573, 1432, 10203, 11146, 23210
GO:0010951	BP	p	negative regulation of endopeptidase activity	0/1578	150/20670	1.490278530472022e-05	10	0	0.011587846998501516	
GO:0006396	BP	p	RNA processing	19/1578	553/20670	4.453050669529485e-05	7	19	0.029158107041903327	8446, 8732, 8761, 11340, 23016, 26747, 26773, 26775, 30836, 51010, 51013, 56915, 57018, 162989, 677769, 677837, 677882, 100033818, 109617000
GO:0045087	BP	p	innate immune response	18/1578	538/20670	4.794141503068699e-05	6	18	0.02982195721983884	384, 1147, 2241, 3149, 4179, 6502, 6732, 10206, 10621, 23586, 26268, 51728, 55646, 56339, 90268, 135154, 144811, 647087
GO:0005654	CC	e	nucleoplasm	462/1578	3808/20670	7.237598342538235e-28	2	462	4.349796603865479e-25	132, 353, 406, 466, 472, 545, 571, 580, 836, 840, 892, 1021, 1024, 1147, 1163, 1193, 1385, 1432, 1460, 1479, 1676, 1763, 1810, 1848, 1854, 1869, 1876, 1994, 1998, 2187, 2188, 2958, 2960, 2961, 2963, 2965, 2967, 3066, 3176, 3281, 3622, 3841, 4084, 4087, 4092, 4194, 4208, 4300, 4361, 4482, 4704, 4775, 4999, 5001, 5092, 5156, 5303, 5423, 5456, 5481, 5557, 5571, 5599, 5682, 5685, 5771, 5810, 5925, 5932, 5947, 5965, 5982, 5984, 6045, 6119, 6235, 6284, 6304, 6399, 6478, 6502, 6605, 6627, 6636, 6637, 6697, 6732, 6815, 6827, 6873, 6883, 6921, 6936, 6940, 6996, 7029, 7068, 7072, 7073, 7257, 7319, 7321, 7342, 7347, 7358, 7486, 7494, 7507, 7518, 7541, 7596, 7690, 7702, 7993, 8089, 8339, 8340, 8343, 8361, 8365, 8409, 8428, 8446, 8464, 8487, 8493, 8504, 8520, 8548, 8550, 8555, 8576, 8624, 8726, 8732, 8773, 8896, 8935, 9014, 9025, 9063, 9184, 9330, 9435, 9443, 9477, 9521, 9575, 9668, 9861, 9937, 9988, 9994, 10001, 10016, 10049, 10073, 10124, 10138, 10200, 10285, 10302, 10352, 10360, 10393, 10425, 10438, 10445, 10465, 10467, 10556, 10621, 10656, 10668, 10741, 10772, 10773, 10915, 10943, 10987, 11097, 11103, 11124, 11157, 11201, 11266, 11267, 11321, 11340, 22822, 22823, 22849, 22873, 22932, 22955, 23016, 23210, 23220, 23234, 23314, 23378, 23380, 23493, 23512, 23514, 23582, 23587, 23588, 23658, 23678, 23683, 25804, 25852, 25875, 25879, 25896, 25898, 25906, 25913, 25926, 25983, 26009, 26061, 26297, 26747, 27030, 27042, 27247, 27258, 27292, 28970, 29080, 29086, 29089, 29098, 29099, 29127, 29915, 29945, 29982, 30832, 30836, 49855, 50717, 50810, 51003, 51010, 51013, 51022, 51068, 51069, 51071, 51095, 51099, 51118, 51147, 51174, 51193, 51317, 51335, 51367, 51388, 51397, 51426, 51496, 51499, 51501, 51529, 51530, 51534, 51535, 51542, 51637, 51690, 51691, 51720, 51728, 54069, 54432, 54433, 54454, 54465, 54468, 54494, 54556, 54739, 54780, 54840, 54876, 54881, 54931, 54934, 54935, 54951, 54955, 54968, 54980, 55012, 55110, 55145, 55149, 55157, 55164, 55166, 55174, 55272, 55602, 55644, 55646, 55656, 55726, 55758, 55759, 55781, 55791, 55812, 55869, 55892, 55916, 55975, 56339, 56647, 56655, 56672, 56902, 56915, 56943, 57149, 57563, 57646, 57665, 57669, 57695, 57706, 57708, 57713, 57798, 57819, 58487, 59338, 59348, 63920, 64121, 64318, 64682, 64750, 64754, 64776, 64789, 64802, 64895, 64924, 64960, 79031, 79035, 79074, 79101, 79269, 79621, 79622, 79664, 79692, 79723, 79728, 79731, 79768, 80010, 80067, 80095, 80349, 80853, 80895, 81550, 81608, 81889, 83732, 83759, 83852, 83940, 84060, 84081, 84108, 84135, 84154, 84191, 84246, 84265, 84268, 84299, 84305, 84520, 84524, 84614, 84661, 84844, 84916, 84955, 84967, 85015, 90390, 91368, 91750, 91801, 91833, 91875, 92400, 92856, 94241, 112399, 112858, 112950, 114799, 114803, 116461, 118487, 120534, 121274, 122704, 128312, 129401, 129607, 132660, 134359, 135295, 137492, 139596, 147657, 147923, 148423, 149420, 150274, 150684, 154007, 162989, 163087, 163255, 166968, 169981, 200558, 201161, 201254, 221264, 221443, 221830, 222236, 223082, 246184, 253430, 283742, 284695, 284697, 285381, 286053, 339324, 339487, 348995, 353322, 388566, 399818, 401466, 474343, 102157402
GO:0005739	CC	e	mitochondrion	193/1578	1326/20670	5.568276997266358e-19	5	193	1.6732672376785406e-16	22, 36, 39, 384, 594, 637, 1353, 1407, 1432, 1629, 1678, 1763, 1854, 2109, 2230, 2653, 3052, 3396, 3417, 4084, 4200, 4482, 4521, 4704, 4731, 5095, 5599, 5805, 6341, 7019, 7390, 7978, 8034, 8228, 8520, 8540, 8773, 9650, 9958, 9994, 10157, 10352, 10773, 11019, 11022, 11238, 11321, 23408, 23456, 25875, 25934, 25983, 25996, 26275, 26520, 26995, 27068, 27247, 28957, 28958, 28977, 28998, 29083, 29093, 29960, 50717, 51001, 51022, 51027, 51069, 51095, 51099, 51102, 51218, 51250, 51264, 51287, 51335, 51499, 51642, 51650, 51657, 51805, 53343, 54516, 54675, 54708, 54739, 54802, 54881, 54931, 54968, 55005, 55006, 55014, 55017, 55149, 55157, 55186, 55217, 55278, 55471, 55486, 55669, 55744, 55812, 56267, 56922, 56942, 56943, 56945, 57038, 57110, 57380, 58487, 60492, 63899, 63933, 64216, 64318, 64960, 64963, 64968, 64979, 64981, 65003, 65991, 78988, 79077, 79133, 79135, 79675, 79693, 79731, 80007, 80298, 81889, 83875, 83982, 84233, 84300, 84334, 84545, 84681, 84816, 84947, 85476, 85865, 87178, 90362, 90550, 91875, 92014, 114294, 114971, 115286, 118487, 120892, 122509, 122704, 122961, 124454, 125228, 129607, 131076, 131474, 134145, 134266, 135154, 137682, 137872, 139322, 150274, 154791, 157378, 160760, 196294, 205251, 219927, 221154, 221264, 255027, 256643, 284106, 284184, 285343, 353322, 375748, 388962, 440574, 441024, 644096, 100303755
GO:0005634	CC	e	nucleus	569/1578	5514/20670	1.8216295269237726e-17	5	569	4.691997195776517e-15	132, 178, 406, 466, 472, 545, 571, 573, 580, 585, 642, 836, 840, 892, 901, 952, 1021, 1024, 1193, 1385, 1390, 1407, 1432, 1460, 1479, 1662, 1676, 1763, 1854, 1869, 1876, 1977, 1994, 1998, 2115, 2173, 2241, 2593, 2958, 2960, 2963, 2967, 3066, 3149, 3281, 3475, 3622, 3841, 3858, 4087, 4092, 4094, 4194, 4208, 4238, 4300, 4521, 4690, 4704, 4775, 4830, 4999, 5001, 5134, 5156, 5316, 5378, 5423, 5481, 5529, 5571, 5599, 5607, 5682, 5685, 5791, 5810, 5902, 5925, 5947, 5965, 5982, 5984, 6045, 6139, 6259, 6284, 6304, 6399, 6419, 6477, 6502, 6605, 6627, 6636, 6637, 6732, 6815, 6827, 6873, 6883, 6936, 6940, 6996, 7019, 7029, 7068, 7072, 7073, 7112, 7257, 7321, 7325, 7342, 7358, 7372, 7486, 7494, 7507, 7518, 7541, 7556, 7561, 7584, 7594, 7596, 7675, 7678, 7699, 7700, 7748, 7769, 7770, 7852, 7873, 7957, 8089, 8187, 8195, 8339, 8340, 8343, 8361, 8365, 8409, 8428, 8446, 8464, 8481, 8487, 8493, 8520, 8548, 8550, 8555, 8601, 8624, 8650, 8690, 8726, 8732, 8761, 8896, 9014, 9025, 9063, 9101, 9141, 9205, 9263, 9326, 9404, 9443, 9465, 9477, 9521, 9534, 9575, 9668, 9702, 9849, 9958, 9988, 9994, 10001, 10016, 10049, 10092, 10093, 10124, 10138, 10157, 10190, 10200, 10229, 10263, 10285, 10302, 10425, 10438, 10445, 10464, 10467, 10539, 10553, 10556, 10591, 10656, 10772, 10773, 10780, 10781, 10915, 10943, 10950, 10987, 11097, 11124, 11157, 11164, 11179, 11266, 11267, 11340, 22807, 22822, 22823, 22824, 22832, 22835, 22849, 22873, 22955, 23016, 23210, 23234, 23408, 23412, 23493, 23512, 23582, 23587, 23588, 23658, 25804, 25852, 25871, 25896, 25898, 25934, 25996, 26260, 26297, 26747, 27030, 27130, 27247, 27257, 27258, 28970, 29081, 29086, 29089, 29098, 29104, 29127, 29915, 29942, 29945, 29994, 30832, 50717, 50810, 50855, 51002, 51003, 51010, 51013, 51022, 51065, 51068, 51091, 51102, 51147, 51182, 51188, 51193, 51218, 51277, 51320, 51335, 51351, 51426, 51427, 51444, 51501, 51529, 51530, 51619, 51637, 51690, 51691, 51693, 51710, 51720, 51726, 54069, 54439, 54454, 54464, 54494, 54537, 54780, 54797, 54799, 54811, 54816, 54823, 54840, 54851, 54881, 54908, 54931, 54942, 54955, 54980, 55011, 55084, 55093, 55110, 55132, 55145, 55151, 55166, 55174, 55230, 55236, 55272, 55437, 55486, 55552, 55632, 55644, 55646, 55659, 55680, 55717, 55726, 55727, 55762, 55781, 55783, 55833, 55856, 55869, 56339, 56647, 56655, 56890, 56915, 56984, 56986, 57002, 57018, 57110, 57337, 57396, 57570, 57646, 57665, 57677, 57695, 57708, 57711, 57713, 57763, 57798, 57819, 58487, 59348, 60485, 63934, 64121, 64288, 64376, 64395, 64750, 64754, 64789, 64802, 64848, 64863, 64895, 64940, 65251, 65991, 79003, 79005, 79035, 79074, 79077, 79088, 79177, 79612, 79622, 79673, 79723, 79768, 79780, 79800, 79828, 79830, 79876, 79912, 80063, 80095, 80110, 80173, 80319, 80349, 80853, 80895, 81550, 81627, 83448, 83480, 83591, 83594, 83744, 83852, 84081, 84108, 84246, 84265, 84268, 84520, 84524, 84525, 84661, 84765, 84792, 84844, 84924, 85015, 85460, 87178, 90025, 90075, 90317, 90390, 90523, 90592, 90594, 90637, 91133, 91151, 91392, 91664, 91801, 92002, 92283, 92342, 92806, 92815, 92906, 92912, 93134, 94104, 94241, 112399, 112858, 112950, 113510, 113802, 114803, 114825, 114971, 116224, 117154, 117177, 117608, 118924, 119392, 121274, 122830, 123803, 124512, 124961, 125150, 126068, 126231, 128312, 128387, 132160, 132660, 132789, 137392, 137682, 138716, 140691, 140739, 144811, 147657, 147686, 147923, 147947, 148206, 148266, 148268, 149420, 150684, 152518, 152687, 153443, 157695, 158586, 162239, 162963, 163255, 165324, 166968, 168374, 168850, 170622, 170685, 170958, 199692, 199777, 200558, 201161, 201973, 203228, 219541, 221264, 221302, 221336, 222194, 253430, 254065, 255403, 283742, 284323, 284370, 284391, 284695, 285268, 285381, 286053, 339318, 339324, 339500, 339745, 340252, 342908, 347344, 353088, 375748, 375757, 388536, 388561, 388566, 399818, 400569, 400713, 441951, 442319, 642280, 728927, 102157402
GO:0005759	CC	e	mitochondrial matrix	74/1578	378/20670	3.934319221510107e-14	5	74	8.866971945478402e-12	36, 384, 594, 1629, 2109, 2110, 2230, 2653, 3396, 4200, 4521, 4704, 5095, 5303, 7019, 7978, 10157, 10352, 11019, 11238, 23408, 25996, 26275, 26995, 27068, 27292, 29960, 51022, 51095, 51102, 51110, 51218, 51250, 51657, 51805, 53343, 54516, 54802, 54931, 55006, 55157, 55217, 55471, 55856, 56922, 57001, 57038, 57570, 63899, 64216, 64863, 79568, 79675, 79731, 80298, 81889, 83875, 84274, 84300, 84693, 84869, 85476, 87178, 92935, 120892, 122961, 124454, 135154, 137872, 160760, 201973, 326625, 441024, 644096
