# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006954	BP	e	inflammatory response	41/220	393/20670	9.902191041092845e-29	4	41	1.231931587422361e-24	140, 199, 718, 719, 929, 1230, 1240, 1436, 1524, 1536, 2350, 2357, 3055, 3606, 3663, 3683, 3689, 3965, 4261, 4671, 4973, 5294, 5724, 5742, 6348, 7096, 9450, 9473, 10333, 23166, 23643, 29108, 29760, 51284, 57413, 64581, 81793, 84868, 114548, 122618, 375387
GO:0045087	BP	e	innate immune response	34/220	538/20670	5.418054207877903e-17	6	34	3.37030062001045e-13	695, 712, 713, 714, 929, 1436, 1524, 1536, 2207, 2209, 3055, 3663, 3684, 4067, 4671, 4688, 5294, 6039, 6503, 6850, 8832, 9450, 11027, 23547, 29108, 51284, 79626, 80231, 84868, 89790, 114548, 122618, 219972, 340205
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	11/220	30/20670	7.0674428905365104e-15	5	11	2.930868566705491e-11	972, 1520, 2207, 3108, 3109, 3111, 3113, 3115, 3117, 3122, 3123
GO:0006955	BP	e	immune response	28/220	422/20670	1.1463375790643225e-14	2	28	3.5653964552848096e-11	714, 718, 920, 942, 1230, 1240, 1520, 1524, 1880, 2209, 2210, 2214, 2533, 3113, 3117, 3122, 3123, 3394, 4261, 5724, 7096, 7454, 7940, 10261, 10333, 81793, 126259, 375387
GO:0032760	BP	e	positive regulation of tumor necrosis factor production	16/220	103/20670	1.5539574537640785e-14	9	16	3.86655693645578e-11	929, 1536, 3965, 5724, 5788, 6348, 6850, 7096, 7305, 8832, 11027, 23643, 29108, 54440, 64581, 84868
GO:0002250	BP	e	adaptive immune response	26/220	402/20670	1.9716438053454703e-13	3	26	4.0882034303838324e-10	695, 920, 942, 1520, 1524, 1880, 2210, 3108, 3109, 3111, 3113, 3115, 3117, 3122, 3903, 4067, 5294, 6850, 7462, 8832, 10859, 11006, 11024, 84868, 89790, 115650
GO:0050870	BP	e	positive regulation of T cell activation	10/220	33/20670	1.1359534692354898e-12	8	10	2.0189138729655327e-09	920, 3108, 3109, 3111, 3113, 3115, 3117, 3122, 3123, 29108
GO:0002503	BP	e	peptide antigen assembly with MHC class II protein complex	8/220	16/20670	1.7341516896973496e-12	7	8	2.6968226464405908e-09	3108, 3109, 3111, 3113, 3115, 3117, 3122, 3123
GO:0002381	BP	e	immunoglobulin production involved in immunoglobulin-mediated immune response	8/220	17/20670	3.2457623545985275e-12	7	8	4.486725494840031e-09	3108, 3109, 3111, 3113, 3115, 3117, 3122, 3123
GO:0032729	BP	e	positive regulation of interferon-gamma production	12/220	77/20670	3.1297812770235536e-11	8	12	3.893760886745003e-08	929, 3113, 3115, 3394, 3606, 3965, 10859, 29108, 51284, 54440, 64581, 84868
